"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"89","IMP53-77BR","","Corteva Agriscience RSA","White","Zea mays","GM","","","BR"
"90","KKS4270B","AFG 4270 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102767","20100806","B"
"91","KKS4412B","AFG 4412 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20062389","20060801","B"
"92","KKS4434R","AFG 4434 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20072487","20070801","R"
"93","KKS4452B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","","","B"
"94","KKS4474R","AFG 4474 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102762","20100806","R"
"95","KKS4479R","AFG 4479 R","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082589","20080807","R"
"96","KKS4522B","AFG 4522 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20062392","20060801","B"
"97","KKS4572R","AFG 4572 R","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20102763","20100806","R"
"98","KKS4573B","AFG 4573 B","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082591","20080807","B"
"99","KKS4577B","AFG 4577 B","Klein Karoo Seed Marketing","White","Zea mays","GM","A20082593","20080807","B"
"100","KKS4581BR","AFG 4581 BR","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20102732","20100521","BR"
"101","KKS8214R","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20133321","20130912","R"
"102","KKS8216BR","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20133322","20130912","BR"
"103","KKS8301B","","Klein Karoo Seed Marketing","White","Zea mays","GM","","","B"
"104","KKS8326B","KKS 8426 B","Syngenta SA","Yellow","Zea mays","GM","A 20153638","20150728","B"
"105","KKS8328B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","","","B"
"106","KKS8330B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","","","B"
"107","KKS8403R","10X003RW","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20143462","20140822","R"
"108","KKS8406B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","","","B"
"109","KKS8408R","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20143486","20140822","R"
"110","KKS8410BR","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20143487","20140822","R"
"111","KKS8418B","15Y1208 B","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20194256","20190912","B"
"112","KKS8422B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20194257","20190912","B"
"113","KKS8424B","","Klein Karoo Seed Marketing","Yellow","Zea mays","GM","A 20123166","20120814","B"
"114","KKS8426B","KKS 8326 B","Syngenta SA","Yellow","Zea mays","GM","A 20153638","20150728","B"
"115","KKS8555R","15W0055","Klein Karoo Seed Marketing","White","Zea mays","GM","A 20184153","20180816","R"
"116","LG31.642R","","Link Seed","Yellow","Zea mays","GM","A 20184144","20180816","R"
"117","LG31.644R","","Link Seed","Yellow","Zea mays","GM","A 20184145","20180816","R"
"118","LS8521B","","Link Seed","White","Zea mays","GM","","","B"
"119","LS8522R","","Link Seed","Yellow","Zea mays","GM","","","R"
"120","LS8524R","","Link Seed","Yellow","Zea mays","GM","","","R"
"121","LS8527BR","","Link Seed","White","Zea mays","GM","","","BR"
"122","LS8528R","","Link Seed","Yellow","Zea mays","GM","","","R"
"123","LS8533R","","Link Seed","White","Zea mays","GM","","","R"
"124","LS8535B","","Link Seed","Yellow","Zea mays","GM","","","B"
"125","LS8536B","","Link Seed","Yellow","Zea mays","GM","A 20133325","20130912","B"
"126","LS8538R","","Link Seed","Yellow","Zea mays","GM","A 20153639","20150728","R"
"127","LS8539B","","Link Seed","White","Zea mays","GM","","","B"
"128","LS8541BR","","Link Seed","White","Zea mays","GM","A 20153600","20150716","BR"
"129","P1151RR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133326","20130912","R"
"130","P1184B","P 1184Y B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123169","20120814","B"
"131","P1184BR","PHB 3SA42703956 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20133337","20130912","BR"
"132","P1184R","P 1184 R R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123168","20120814","R"
"133","P1184RR","P1184 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123168","20120814","R"
"134","P1184YB","P1184 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20123169","20120814","B"
"135","P1184YR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
