"","cultivar_name","alternate","breeder","color","crop","type","number","release_year","technology"
"516","VP8208R","X13A488 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174027","20170828","R"
"517","VP8301B","","Corteva Agriscience RSA","White","Zea mays","GM","","","B"
"518","VP8301BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173984","20170824","BR"
"519","VP8301R","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174004","20170824","R"
"520","VP8405B","PHB 3X23B144WY B","Corteva Agriscience RSA","White","Zea mays","GM","A20123147","20120807","B"
"521","VP8405BR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173985","20170824","BR"
"522","VP8405R","","Corteva Agriscience RSA","White","Zea mays","GM","","","R"
"523","WE6206B","","ARC GCI","White","Zea mays","GM","A 20173995","20170824","B"
"524","WE6207B","","ARC GCI","White","Zea mays","GM","A 20173996","20170824","B"
"525","WE6208B","","ARC GCI","White","Zea mays","GM","A 20173997","20170824","B"
"526","WE6209B","","ARC GCI","White","Zea mays","GM","A 20173998","20170824","B"
"527","WE6210B","","ARC GCI","White","Zea mays","GM","A 20173999","20170824","B"
"528","X08D413R","P1257 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194272","20190912","R"
"529","X13A488BR","VP 8208 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174016","20170828","BR"
"530","X13A488R","VP 8208 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174027","20170828","R"
"531","X13A502WBR","P1518W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194285","20190912","BR"
"532","X13B655R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174028","20170828","R"
"533","X13C815BR","PHB 33H58 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194271","20190912","BR"
"534","X13D093BR","PAN 3R-700 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174017","20170828","BR"
"535","X13D093R","PAN 3R-500 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20184150","20180816","R"
"536","X13D102BR","PAN 3R-724 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174018","20170828","BR"
"537","X13D102R","PAN 3R-524 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194264","20190912","R"
"538","X13K591B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174021","20170828","B"
"539","X13K591R","PAN 4R-528 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194266","20190912","R"
"540","X13K591YR","PAN 4R-728 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194267","20190912","BR"
"541","X13K594WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194289","20190912","B"
"542","X13K598B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174022","20170828","B"
"543","X13K598R","P1513 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194259","20190912","R"
"544","X18F883B","P1788 B","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194273","20190912","B"
"545","X18F883BR","P1788 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194274","20190912","BR"
"546","X18F883R","P1788 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194275","20190912","R"
"547","X18K283B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174023","20170828","B"
"548","X18K290WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174000","20170824","B"
"549","X18K290WR","P2531W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194296","20190912","R"
"550","X18K293WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173986","20170824","BR"
"551","X18K293WR","PAN 5R-575 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194297","20190912","R"
"552","X18K294B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174024","20170828","B"
"553","X18K298WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174001","20170824","B"
"554","X18K298WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194298","20190912","R"
"555","X18K327B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174025","20170828","B"
"556","X18M094WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194299","20190912","R"
"557","X23B148BR","P2432 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194263","20190912","BR"
"558","X23F436WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194325","20191107","R"
"559","X23F436WYR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184157","20180816","R"
"560","X23F438WB","P2555W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20194290","20190912","B"
"561","X23F438WBR","P2555W BR","Corteva Agriscience RSA","White","Zea mays","GM","A 20194286","20190912","BR"
"562","X23H518BR","P2319 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194262","20190912","BR"
"563","X23H518R","P2319 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20174029","20170828","R"
"564","X23H522R","PAN 5R-570 R","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194269","20190912","R"
"565","X25K084WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173987","20170824","BR"
"566","X25K084WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184158","20180816","R"
"567","X25K085WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173988","20170824","BR"
"568","X25K090WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173989","20170824","BR"
"569","X25K090WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184159","20180816","R"
"570","X25K091WB","P2565W B","Corteva Agriscience RSA","White","Zea mays","GM","A 20194291","20190912","B"
"571","X25M124B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194276","20190912","B"
"572","X25M127WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194300","20190912","R"
"573","X25M128WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194301","20190912","R"
"574","X25M132WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194302","20190912","R"
"575","X25M133WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194303","20190912","R"
"576","X25N200WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194304","20190912","R"
"577","X25N201WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194292","20190912","B"
"578","X25N204WB","","Corteva Agriscience RSA","White","Zea mays","GM","A 20194293","20190912","B"
"579","X25N208BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194277","20190912","BR"
"580","X25N212BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194278","20190912","BR"
"581","X25N212R","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194279","20190912","R"
"582","X28D297WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184160","20180816","R"
"583","X28D299WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174005","20170824","R"
"584","X28D308WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174006","20170824","R"
"585","X28D310WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184161","20180816","R"
"586","X30K275WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173991","20170824","BR"
"587","X30K275WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20184162","20180816","R"
"588","X30K277WBR","P2927WY R","Corteva Agriscience RSA","White","Zea mays","GM","A 20173990","20170824","BR"
"589","X30K277WR","P2927W R","Corteva Agriscience RSA","White","Zea mays","GM","A 20184163","20180816","R"
"590","X30K277WYR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","","","R"
"591","X30K278WBR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20173992","20170824","BR"
"592","X30K278WR","PAN 5R-535 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20184164","20180816","R"
"593","X30M372WR","PAN 5R-561 R","Corteva Agriscience RSA","White","Zea mays","GM","A 20194305","20190912","R"
"594","X30M373B","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194280","20190912","B"
"595","X35H446WR","","Corteva Agriscience RSA","White","Zea mays","GM","A 20174007","20170824","R"
"596","X6H921BR","","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194281","20190912","BR"
"597","X8F871BR","PHB 31D23 BR","Corteva Agriscience RSA","Yellow","Zea mays","GM","A 20194282","20190912","BR"
"598","12W0361","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20163860","20160913","0"
"599","13W0023","KKS 8423","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20163861","20160913","0"
"600","13W0024","KKS 8427","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20163862","20160913","0"
"601","13W0708","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20184168","20181005","0"
"602","13Y1191","","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20174030","20171010","0"
"603","14W0030","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20184169","20181005","0"
"604","15W0050","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20184170","20181005","0"
"605","15W0074","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20184171","20181005","0"
"606","3X23B144WY","","Klein Karoo Seed Marketing","White","Zea mays","HB","","","0"
"607","AFG4321","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20052246","20051011","0"
"608","AFG4383","KKS 4383","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20102790","20100908","0"
"609","AFG4410","KKS 4410","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042059","20040820","0"
"610","AFG4414","KKS 4414","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20072485","20070801","0"
"611","AFG4476","KKS 4476","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20082617","20080731","0"
"612","AFG4517","KKS 4517","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20052251","20051011","0"
"613","AFG4520","KKS 4520","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042064","20040820","0"
"614","AFG4530","KKS 4530","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20052237","20051011","0"
"615","AFG4540","KKS 4540","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042065","20040820","0"
"616","AFG4555","KKS 4555","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20072494","20070801","0"
"617","AFG4611","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20072495","20070801","0"
"618","AFG4663","","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20072496","20070801","0"
"619","AMBER","","Delta Seed","Yellow","Zea mays","HB","A 20031897","20030707","0"
"620","APEX","","Quality Seed","Yellow","Zea mays","HB","A 20194307","20191007","0"
"621","AS01MW","","Agri-Seed & Technologies","White","Zea mays","HB","A 20174045","20171016","0"
"622","AS03MW","","Agri-Seed & Technologies","White","Zea mays","HB","A 20174046","20171016","0"
"623","BANANA","Revolution","Nelson Genetics/Agricol","White","Zea mays","HB","A 20123087","20120724","0"
"624","BG3268","P 1395","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20133311","20130912","0"
"625","BG3292","PHB 32D78","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20123160","20120814","0"
"626","BG4201","","Corteva Agriscience RSA","White","Zea mays","HB","A 20123098","20120724","0"
"627","BG4296","PHB 3X6F695","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20102812","20100907","0"
"628","BG5285","PAN 5285","Corteva Agriscience RSA","White","Zea mays","HB","A 20123105","20120724","0"
"629","BG6283","","Corteva Agriscience RSA","White","Zea mays","HB","A 20123103","20120724","0"
"630","CAP121-30","","Capstone Seeds","Yellow","Zea mays","HB","A 20042055","20040820","0"
"631","CAP122-60","","Capstone Seeds","Yellow","Zea mays","HB","A 20133308","20130912","0"
"632","CAP130-120","","Capstone Seeds","Yellow","Zea mays","HB","A20123154","20120814","0"
"633","CAP341NG","","Nelson Genetics/Capstone Seeds","White","Zea mays","HB","A 20021758","20020910","0"
"634","CAP441NG","","Nelson Genetics/Capstone Seeds","White","Zea mays","HB","A 20052211","20050818","0"
"635","CAP444NG","","Nelson Genetics/Capstone Seeds","Yellow","Zea mays","HB","A 20052210","20050818","0"
"636","CAP766NG","","Nelson Genetics/Capstone Seeds","Yellow","Zea mays","HB","A 20042056","20040820","0"
"637","CAP775NG","","Nelson Genetics/Capstone Seeds","White","Zea mays","HB","A 20052212","20050818","0"
"638","CAP9001","","Capstone Seeds","White","Zea mays","HB","A 20062368","20060823","0"
"639","CAP9004","","Nelson Genetics/Capstone Seeds","Yellow","Zea mays","HB","A 20123155","20120814","0"
"640","CAP9013","","Capstone Seeds","White","Zea mays","HB","A 20123088","20120724","0"
"641","CAP9021","","Capstone Seeds","White","Zea mays","HB","A 20163863","20160913","0"
"642","CAP9301","","Capstone Seeds","White","Zea mays","HB","A 20163864","20160913","0"
"643","CAP9303","","Capstone Seeds","White","Zea mays","HB","A 20163865","20160913","0"
"644","CAP9305","","Capstone Seeds","White","Zea mays","HB","A 20163866","20160913","0"
"645","CAP9401","","Nelson Genetics/Capstone Seeds","White","Zea mays","HB","A 20184172","20181005","0"
"646","CAP9403","","Capstone Seeds","White","Zea mays","HB","A 20163867","20160913","0"
"647","CAP9405","","Capstone Seeds","White","Zea mays","HB","A 20163868","20160913","0"
"648","CAP9444NG","","Nelson Genetics/Capstone Seeds","Yellow","Zea mays","HB","A 20133309","20130912","0"
"649","CAP9501","","Capstone Seeds","White","Zea mays","HB","A 20163869","20160913","0"
"650","CG4141","","Bayer (Pty) Ltd","White","Zea mays","HB","","Voluntary on list","0"
"651","CHOKCHAI999","","Lichtenburg Scrapyard","Yellow","Zea mays","HB","A 20123156","20120814","0"
"652","CRN3505","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20011637","20010925","0"
"653","CRN3604","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 981148","19980701","0"
"654","DAS2A120","","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20163835","20160908","0"
"655","DAS2B587","","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20163836","20160908","0"
"656","DE111","","Delta Seed","White","Zea mays","HB","A 20123090","20120724","0"
"657","DE2004","","Wickens Investments","Yellow","Zea mays","HB","A 20062343","20060801","0"
"658","DE2006","","Delta Seed","Yellow","Zea mays","HB","A 20082639","20080731","0"
"659","DE2016","","Delta Seed","Yellow","Zea mays","HB","A 20133310","20130912","0"
"660","DE222","","Delta Seed","Yellow","Zea mays","HB","A 20112968","20110805","0"
"661","DE270","","Delta Seed","Yellow","Zea mays","HB","A 20143506","20141002","0"
"662","DE303","","Delta Seed","White","Zea mays","HB","A 20133347","20130930","0"
"663","DE308","","Delta Seed","Yellow","Zea mays","HB","A 20194308","20191007","0"
"664","DE375","","Delta Seed","White","Zea mays","HB","A20123091","20120724","0"
"665","DK8031","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20072501","20070801","0"
"666","DKC2147","SNK 2147","Bayer (Pty) Ltd","White","Zea mays","HB","","Voluntary on list","0"
"667","DKC63-53","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20163870","20160913","0"
"668","DKC68-50","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20174031","20171010","0"
"669","DKC71-42","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20163837","20160908","0"
"670","DKC72-70","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20184188","20181108","0"
"671","DKC73-72","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20102779","20100907","0"
"672","DKC74-20","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20174032","20174032","0"
"673","DKC78-27","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20133348","20130930","0"
"674","DKC80-10","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20021703","20020707","0"
"675","DKC80-33","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20072502","20070801","0"
"676","DKC80-53","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20133349","20130930","0"
"677","DKC90-53","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20133351","20130930","0"
"678","DKC90-89","","Bayer (Pty) Ltd","White","Zea mays","HB","A 20133350","20130930","0"
"679","EGEAN","","Quality Seed","Yellow","Zea mays","HB","A 20194309","20191007","0"
"680","ESVALERIO","","Bayer (Pty) Ltd","Yellow","Zea mays","HB","A 20112969","20110805","0"
"681","GW3436","","Quality Seed","Yellow","Zea mays","HB","A 20194310","20191007","0"
"682","GW4627","","Quality Seed","Yellow","Zea mays","HB","A 20194311","20191007","0"
"683","HX11","","Hylix Genetics","White","Zea mays","HB","A 20174047","20171016","0"
"684","HX22","","Hylix Genetics","Yellow","Zea mays","HB","A 20174033","20171010","0"
"685","IMP52-11","","Corteva Agriscience RSA","White","Zea mays","HB","A 20072474","20070801","0"
"686","IMP52-12","PHB 3X18A306","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20112978","20110805","0"
"687","IMP53-01","","Corteva Agriscience RSA","White","Zea mays","HB","","","0"
"688","IMP53-03","","Corteva Agriscience RSA","White","Zea mays","HB","","","0"
"689","IMP53-04","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"690","IMP53-13","","Corteva Agriscience RSA","White","Zea mays","HB","A 20123096","20120724","0"
"691","JEMAT301","","Jermart Seeds","White","Zea mays","HB","A 20163871","20160913","0"
"692","JEMAT401","","Jermart Seeds","White","Zea mays","HB","A 20163872","20160913","0"
"693","JEMAT501","","Jermart Seeds","White","Zea mays","HB","A 20153673","20151016","0"
"694","KGALAGADI","","Dr AP Fourie","White","Zea mays","HB","A 20072512","20070801","0"
"695","KKS4383","AFG 4383","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20102790","20100908","0"
"696","KKS4410","AFG 4410","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042059","20040820","0"
"697","KKS4414","AFG 4414","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20072485","20070801","0"
"698","KKS4476","AFG 4476","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20082617","20080731","0"
"699","KKS4517","AFG 4517","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20052251","20051011","0"
"700","KKS4520","AFG 4520","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042064","20040820","0"
"701","KKS4530","AFG 4530","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20052237","20051011","0"
"702","KKS4540","AFG 4540","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20042065","20040820","0"
"703","KKS4555","AFG 4555","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20072494","20070801","0"
"704","KKS8200","","Klein Karoo Seed Marketing","Yellow","Zea mays","HB","A 20011603","20010926","0"
"705","KKS8301","","Klein Karoo Seed Marketing","White","Zea mays","HB","","","0"
"706","KKS8326","","Syngenta SA","Yellow","Zea mays","HB","A 20184191","20181108","0"
"707","KKS8423","13W0023","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20163861","20160913","0"
"708","KKS8427","13W0024","Klein Karoo Seed Marketing","White","Zea mays","HB","A 20163862","20160913","0"
"709","KORDUNA","","Quality Seed","Yellow","Zea mays","HB","A 20194312","20191007","0"
"710","KP-11","","Erdzak Pty Ltd","Yellow","Zea mays","HB","A 20163838","20160908","0"
"711","LAKE601","","Lake Agriculture","White","Zea mays","HB","A 20163873","20160913","0"
"712","LAKE603","","Lake Agriculture","White","Zea mays","HB","A 20163874","20160913","0"
"713","LAKE606","","Lake Agriculture","Yellow","Zea mays","HB","A 20194313","20191007","0"
"714","LG31.743","","Link Seed","White","Zea mays","HB","","","0"
"715","LG31.746","","Link Seed","Yellow","Zea mays","HB","A 20184187","20181108","0"
"716","LG3607","","Link Seed","White","Zea mays","HB","","","0"
"717","LG3607Y","","Link Seed","Yellow","Zea mays","HB","","","0"
"718","LG3607YELLOW","PAN 3Q-294","Link Seed","Yellow","Zea mays","HB","A 20102798","20100907","0"
"719","LS8504","","Link Seed","Yellow","Zea mays","HB","","","0"
"720","LS8512","","Link Seed","Yellow","Zea mays","HB","","","0"
"721","LS8518","","Link Seed","Yellow","Zea mays","HB","A 20102820","20100816","0"
"722","LS8519","","Link Seed","White","Zea mays","HB","","","0"
"723","LS8526","","Link Seed","Yellow","Zea mays","HB","A 20112970","20110805","0"
"724","LS8529","","Link Seed","White","Zea mays","HB","","","0"
"725","LS8537","","Link Seed","White","Zea mays","HB","","","0"
"726","LS8542","","Link Seed","Yellow","Zea mays","HB","A 20174034","20171010","0"
"727","LS8544","","Link Seed","Yellow","Zea mays","HB","A 20174035","20171010","0"
"728","MEH114","","Mahyco","Yellow","Zea mays","HB","A 981181","19980701","0"
"729","MMH1765","","Mahyco","Yellow","Zea mays","HB","A 981182","19980701","0"
"730","MMH8825","","Mahyco","Yellow","Zea mays","HB","A 981179","19980701","0"
"731","MX124","","Maxim Seed","Yellow","Zea mays","HB","A 20143507","20141002","0"
"732","MX165","","Maxim Seed","White","Zea mays","HB","A 20174048","20171016","0"
"733","MX404","","Maxim Seed","Yellow","Zea mays","HB","A 20174036","20171010","0"
"734","NMMH27","","One Direction Solutions","White","Zea mays","HB","A 20143493","20140930","0"
"735","NS5916","","National Seed","Yellow","Zea mays","HB","A 20042067","20040820","0"
"736","P1184","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20112971","20110805","0"
"737","P1197","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194314","20191007","0"
"738","P1257","X08D413","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194316","20191007","0"
"739","P1319","VP 8208","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20153664","20150916","0"
"740","P1395","BG 3268","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20133311","20130912","0"
"741","P1477W","PAN 3A-173","Corteva Agriscience RSA","White","Zea mays","HB","A 20153675","20151016","0"
"742","P1513","X13K598","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194317","20191007","0"
"743","P1517W","","Corteva Agriscience RSA","White","Zea mays","HB","A20123097","20120724","0"
"744","P1615","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20123159","20120814","0"
"745","P1659W","","Corteva Agriscience RSA","White","Zea mays","HB","A 20153676","20151016","0"
"746","P1745","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163839","20160908","0"
"747","P1788","X18F8831","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20184179","20181108","0"
"748","P1814","PHB 3SA88214805","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20153666","20150916","0"
"749","P1973Y","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"750","P1975","X18N939","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194319","20191007","0"
"751","P2048","PHB 3X7F795","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20102828","20100907","0"
"752","P2137","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163840","20160908","0"
"753","P2137Y","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"754","P2319","PHB X23H518","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163854","20160908","0"
"755","P2367","X23H517","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20174043","20171010","0"
"756","P2369W","","Corteva Agriscience RSA","White","Zea mays","HB","A20102786","20100908","0"
"757","P2369WY","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"758","P2370","X23F442","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20174042","20171010","0"
"759","P2370Y","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"760","P2432","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163841","20160908","0"
"761","P2553WY","","Corteva Agriscience RSA","Yellow","Zea mays","HB","","","0"
"762","P2612","PHB 3X8C152","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20102814","20100907","0"
"763","P2636","X25N216","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194322","20191007","0"
"764","P2842W","PAN 6A-231","Corteva Agriscience RSA","White","Zea mays","HB","A 20133363","20130930","0"
"765","P2859W","","Corteva Agriscience RSA","White","Zea mays","HB","A 20133360","20130930","0"
"766","P2961W","Phb 3X4C357 W","Corteva Agriscience RSA","White","Zea mays","HB","A20102785","20100908","0"
"767","P3052","PHB 3X8C155","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20102795","20100907","0"
"768","P3253W","","Corteva Agriscience RSA","White","Zea mays","HB","A 20133358","20130930","0"
"769","P3812W","","Corteva Agriscience RSA","White","Zea mays","HB","A 20133359","20130930","0"
"770","PAN12","","Pannar Seed","Yellow","Zea mays","HB","A 20133312","20130912","0"
"771","PAN15","","Pannar Seed","White","Zea mays","HB","A 20143494","20140930","0"
"772","PAN3A-124","X13D102","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20194315","20191007","0"
"773","PAN3A-157","PHB X5H301W","Corteva Agriscience RSA","White","Zea mays","HB","A 20163886","20160913","0"
"774","PAN3A-173","P 1477W","Corteva Agriscience RSA","White","Zea mays","HB","A 20153675","20151016","0"
"775","PAN3A-214","","Pannar Seed","Yellow","Zea mays","HB","A 20133313","20130912","0"
"776","PAN3M-01","","Pannar Seed","White","Zea mays","HB","A 20143495","20140930","0"
"777","PAN3Q-222","","Pannar Seed","Yellow","Zea mays","HB","A 20112973","20110805","0"
"778","PAN3Q-228","","Pannar Seed","Yellow","Zea mays","HB","","","0"
"779","PAN3Q-240","","Pannar Seed","Yellow","Zea mays","HB","A 20112975","20110805","0"
"780","PAN3Q-294","LG 3607 Yellow","Link Seed","Yellow","Zea mays","HB","A 20102798","20100907","0"
"781","PAN3R-124","","Pannar Seed","Yellow","Zea mays","HB","","","0"
"782","PAN4A-111","PHB 3X23A012W","Corteva Agriscience RSA","White","Zea mays","HB","A20123099","20120724","0"
"783","PAN4A-128","X13K591","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20184192","20181108","0"
"784","PAN4A-156","PHB X18H674","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163853","20160908","0"
"785","PAN4A-158","","Pannar Seed","Yellow","Zea mays","HB","A 20143508","20141002","0"
"786","PAN4A-159","PHB X18H665W","Corteva Agriscience RSA","White","Zea mays","HB","A 20163883","20160913","0"
"787","PAN4A-160","","Pannar Seed","Yellow","Zea mays","HB","A 20143509","20141002","0"
"788","PAN4A-169","","Pannar Seed","White","Zea mays","HB","A 20133361","20130930","0"
"789","PAN4A-172","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163842","20160908","0"
"790","PAN4A-178","","Corteva Agriscience RSA","Yellow","Zea mays","HB","A 20163843","20160908","0"
"791","PAN4A-217","","Pannar Seed","White","Zea mays","HB","A 20133362","20130930","0"
"792","PAN4A-220","","Pannar Seed","Yellow","Zea mays","HB","A 20133314","20130912","0"
"793","PAN4A-243","","Pannar Seed","White","Zea mays","HB","A 20123117","20120724","0"
"794","PAN4M-17","","Pannar Seed","White","Zea mays","HB","A 20163875","20160913","0"
"795","PAN4M-19","","Pannar Seed","White","Zea mays","HB","A 20082600","20080807","0"
"796","PAN4M-21","","Pannar Seed","White","Zea mays","HB","A 20143496","20140930","0"
"797","PAN4M-23","","Corteva Agriscience RSA","White","Zea mays","HB","A 20163876","20160913","0"
"798","PAN4P-116","","Pannar Seed","Yellow","Zea mays","HB","A 20082517","20080102","0"
"799","PAN4P-206","","Pannar Seed","Yellow","Zea mays","HB","A 20112972","20110805","0"
